Attribute,Theme,Order,Hyperlink - link to a pdf or a webpage poss FAC poss CoC,Notes
"Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 5",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '5' to the question:Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 5"
"Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 6",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '6' to the question:Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 6"
"Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 7",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '7' to the question:Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 7"
"Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 8",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '8' to the question:Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 8"
"Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 9",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '9' to the question:Q40e - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your mental health? - 9"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 0",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '0' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 0"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 1",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 1"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 10",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '10' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 10"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 2",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '2' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 2"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 3",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '3' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 3"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 4",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '4' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 4"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 5",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '5' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 5"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 6",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '6' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 6"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 7",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '7' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 7"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 8",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '8' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 8"
"Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 9",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '9' to the question:Q40f - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your physical health? - 9"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 0",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '0' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 0"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 1",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 1"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 10",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '10' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 10"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 2",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '2' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 2"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 3",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '3' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 3"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 4",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '4' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 4"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 5",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '5' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 5"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 6",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '6' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 6"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 7",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '7' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 7"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 8",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '8' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 8"
"Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 9",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '9' to the question:Q40g - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with those I live with? - 9"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 0",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '0' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 0"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 1",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 1"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 10",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '10' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 10"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 2",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '2' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 2"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 3",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '3' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 3"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 4",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '4' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 4"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 5",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '5' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 5"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 6",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '6' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 6"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 7",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '7' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 7"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 8",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '8' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 8"
"Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 9",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '9' to the question:Q40h - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on relationships with my wider family and friends? - 9"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 0",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '0' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 0"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 1",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 1"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 10",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '10' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 10"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 2",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '2' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 2"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 3",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '3' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 3"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 4",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '4' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 4"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 5",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '5' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 5"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 6",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '6' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 6"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 7",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '7' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 7"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 8",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '8' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 8"
"Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 9",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '9' to the question:Q40i - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on my feelings of loneliness? - 9"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 0",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '0' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 0"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 1",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 1"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 10",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '10' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 10"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 2",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '2' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 2"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 3",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '3' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 3"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 4",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '4' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 4"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 5",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '5' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 5"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 6",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '6' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 6"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 7",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '7' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 7"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 8",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '8' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 8"
"Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 9",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '9' to the question:Q40j - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on feeling connected to the local community? - 9"
"Q41a.1 - Have you volunteered in your local community before the COVID-19 outbreak? - Yes, I volunteer with an organisation",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, I volunteer with an organisation' to the question: Have you volunteered in your local community before the COVID-19 outbreak? "
"Q41a.2 - Have you volunteered in your local community before the COVID-19 outbreak? - Yes, I volunteer informally (such as by helping neighbours)",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, I volunteer informally (such as by helping neighbours)' to the question: Have you volunteered in your local community before the COVID-19 outbreak? "
Q41a.3 - Have you volunteered in your local community before the COVID-19 outbreak? - I have in the past but no longer do so,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'I have in the past but no longer do so' to the question: Have you volunteered in your local community before the COVID-19 outbreak? 
Q41a.4 - Have you volunteered in your local community before the COVID-19 outbreak? - No and I do not wish to for now,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'No and I do not wish to for now' to the question: Have you volunteered in your local community before the COVID-19 outbreak? 
Q41a.5 - Have you volunteered in your local community before the COVID-19 outbreak? - No but I would like to,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'No but I would like to' to the question: Have you volunteered in your local community before the COVID-19 outbreak? 
"Q41b.1 - Have you volunteered in your local community during the COVID-19 outbreak? - Yes, I volunteer with an organisation",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, I volunteer with an organisation' to the question: Have you volunteered in your local community before the COVID-19 outbreak? "
"Q41b.2 - Have you volunteered in your local community during the COVID-19 outbreak? - Yes, I volunteer informally (such as by helping neighbours)",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, I volunteer informally (such as by helping neighbours)' to the question: Have you volunteered in your local community before the COVID-19 outbreak? "
Q41b.3 - Have you volunteered in your local community during the COVID-19 outbreak? - I have in the past but no longer do so,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'I have in the past but no longer do so' to the question: Have you volunteered in your local community before the COVID-19 outbreak? 
Q41b.4 - Have you volunteered in your local community during the COVID-19 outbreak? - No and I do not wish to for now,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'No and I do not wish to for now' to the question: Have you volunteered in your local community before the COVID-19 outbreak? 
Q41b.5 - Have you volunteered in your local community during the COVID-19 outbreak? - No but I would like to,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'No but I would like to' to the question: Have you volunteered in your local community before the COVID-19 outbreak? 
"Q42.1 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Local radio",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Local radio' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q42.2 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Local newspaper",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Local newspaper' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q42.3 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Social media (Twitter, Facebook etc)",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Social media (Twitter, Facebook etc)' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q42.4 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Friends/family who work for the Council",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Friends/family who work for the Council' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q42.5 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Council website",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Council website' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q42.6 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Leaflets/posters",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Leaflets/posters' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q42.7 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Citivision (Council quarterly magazine)",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Citivision (Council quarterly magazine)' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q42.8 - Prior to COVID-19, how did you typically get information about Coventry City Council? - Email newsletters",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Email newsletters' to the question: Prior to COVID-19, how did you typically get information about Coventry City Council?"
"Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.) - Fairly well informed",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Fairly well informed' to the question:Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.)"
"Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.) - Not very well informed",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not very well informed' to the question:Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.)"
"Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.) - Not very well informed at all",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not very well informed at all' to the question:Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.)"
"Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.) - Very well informed",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Very well informed' to the question:Q43 - Overall, how well informed do you think Coventry City Council has kept its residents about its services during the COVID-19 outbreak? (e.g. bins and waste, the council's COVID-19 welfare emergency support services, fly tipping, parks and playgrounds, high street and council tax, leisure etc.)"
Q44.1 - Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic? - Coventry City Council Website,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Coventry City Council Website' to the question: Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic?
Q44.2 - Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic? - Social Media,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Social Media' to the question: Where would you look for information about how council services were being affected as a result of the COVID-19 pandemic?
