Q2,Q7,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q27,Q28,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q39_1,Q39_2,Q39_3,Q40,Q41_1,Q41_2,Q42_1,Q42_2,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q44_1_1,Q44_1_2,Q44_1_3,Q44_1_4,Q44_1_5,Q44_2_1,Q44_2_2,Q44_2_3,Q44_2_4,Q44_2_5,Q45,Q49,Q50,Q51,Q52,Q52_13_Other,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q54,Q54_6_Other,Q55,Q55_8_Other,Q56,Q56_4_Other,Q56_18_Other,Q57,DBMSOA,DBIMDDECILE,DBWARD,DBNEIGHBOURHOOD,Q26WEBWBSMETRIC,WEIGHT,SWEMWBS_Score,SWEMWBSCategories
Fairly dissatisfied,2,Tend to disagree,Very safe,Very safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel the same,Tend to agree,Definitely disagree,Very likely,Good,"Yes, but I no longer smoke","Yes, but I no longer use e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Definitely agree,Definitely agree,Tend to disagree,Definitely agree,Definitely agree,Tend to disagree,Never,You and other household members always had enough of the kinds of foods you wanted to eat,5-6 days,6 days,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Not at all,Never,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Both,Both,Both,Both,Both,Not attended/done at least three times in past 12 months,Both,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Edinburgh Festival site Coventry University,Albion Theatre,Herbert Art Gallery,No - I don't think it has changed my perception,None,4 or more,No,No,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,4,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,7,4,Not,Not,I have in the past but no longer do so,Not,Not,Not,Not,I have in the past but no longer do so,Not,Not,No,Male,75 and over,Divorced,Retired, ,0,0,0,0,0,1,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001969,2,Radford Ward,NW,35,.422969314,35,High Mental Wellbeing
Very satisfied,3,Tend to disagree,Neither safe nor unsafe,Fairly safe,Not changed much (hasn't got better or worse),Not very strongly,Fairly strongly,Don't know,Tend to disagree,Don't know,Not very likely,Bad,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to agree,Definitely agree,Tend to agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Once or twice a week,"You and other household members had enough to eat, but not always the kinds of food you wanted",I Don't drink,0 days,Rarely,None of the time,None of the time,Rarely,Some of the time,Rarely,Often,Not at all,Almost all the time,None,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,Some but less than 1 hour,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Yes,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months, , , ,No - I don't think it has changed my perception,None,None,No,No,10 - Very worried,8,9,8,9,8,7,7,9,6,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to,No,Female,25-34,Divorced,Other please specify,Full time student and part time worker,0,1,0,0,1,0,0,Prefer not to say, ,Prefer not to say, ,Prefer not to say, , ,Not an ex-services member or their dependant,E02001990,7,Binley and Willenhall Ward,SE,15.84,5.102535771,15,Probable Depression
Fairly satisfied,I haven't visited Coventry City Centre in the last year,Tend to disagree,Fairly unsafe,Fairly safe,Got worse to live in,Fairly strongly,Very strongly,I feel the same,Tend to agree,Definitely agree,Not at all likely,Fair,"Yes, I currently smoke","No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely disagree,Definitely agree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,Less frequently,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Rarely,Some of the time,Some of the time,Often,All of the time,Some of the time,All of the time,"Yes, limited a little",Almost all the time,None,1 hour but less than 2 and a half hours,None,None,None,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,Yes,Yes,5,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,5,0 - Not worried at all,5,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,75 and over,Co-habiting,Retired, ,0,0,0,0,0,2,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001976,1,Wyken Ward,NE,22.35,.399898067,25,Average Mental Wellbeing
Fairly satisfied,2,Tend to agree,Very safe,Very safe,Got worse to live in,Not very strongly,Fairly strongly,I feel the same,Tend to agree,Tend to disagree,Fairly likely,Very good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to disagree,Tend to agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Rarely,Some of the time,Rarely,Some of the time,Often,Some of the time,Often,Not at all,Never,None,More than 2 and a half hours,More than 2 and a half hours,None,More than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,No,No,0 - Not worried at all,0 - Not worried at all,6,1,6,2,1,0 - Not worried at all,2,5,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,Not,No but I would like to,No,Male,55-64,Married,Retired, ,0,0,0,0,0,2,0,Prefer not to say, ,Prefer not to say, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001980,10,Woodlands Ward,SW,19.25,.491525529,21,Average Mental Wellbeing
Very satisfied,4,Tend to agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Very strongly,Very strongly,I feel the same,Tend to agree,Tend to agree,Very likely,Fair,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to disagree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Definitely agree,Tend to agree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,Once a week,1 day,Rarely,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,"Yes, limited a little",Never,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,More than 2 and a half hours,In person,Not attended/done at least three times in past 12 months,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Virtual,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Original Paintings exhibition,Rag Paper making,Music recital,No - I don't think it has changed my perception,None,None,Don't know,Don't know,0 - Not worried at all,0 - Not worried at all,4,2,5,5,0 - Not worried at all,5,3,3,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Male,75 and over,Widowed,Retired, ,0,0,0,0,0,1,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001998,9,Wainbody Ward,SW,19.98,.302387131,22,Average Mental Wellbeing
Fairly satisfied,2,Neither agree nor disagree,Don't know,Very safe,Got worse to live in,Fairly strongly,Not at all strongly,I feel the same,Neither agree nor disagree,Don't know,Not very likely,Fair,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Definitely disagree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,7 days,7 days,Some of the time,None of the time,Some of the time,Some of the time,Some of the time,Rarely,All of the time,"Yes, limited a lot",Never,None,None,None,None,None,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Back to the Future Theatre in London.,Mamma Mia. Theatre in London., ,Yes - its has changed my perception in a negative way,None,None,Don't know,Don't know,0 - Not worried at all,0 - Not worried at all,9,0 - Not worried at all,7,10 - Very worried,0 - Not worried at all,7,8,5,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,55-64,Married,Retired, ,0,0,0,0,0,2,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001979,10,Whoberley Ward,SW,18.59,.434877937,20,Possible Depression
Fairly satisfied,I haven't visited Coventry City Centre in the last year,I haven't visited Coventry City Centre in the last year,Fairly safe,Fairly safe,Not changed much (hasn't got better or worse),Very strongly,Very strongly,I feel the same,Definitely agree,Tend to agree,Fairly likely,Fair,"Yes, but I no longer smoke","Yes, I currently use e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Definitely agree,Tend to agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,1 day,Some of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,"Yes, limited a lot",Only sometimes,None,More than 2 and a half hours,None,None,None,Virtual,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,vahsakhi sports mela online,radio 1 big weekend online,coventry memorial park online,Don't know,None,None,Don't know,Don't know,0 - Not worried at all,0 - Not worried at all,10 - Very worried,0 - Not worried at all,0 - Not worried at all,10 - Very worried,10 - Very worried,10 - Very worried,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to,No,Female,65-74,Divorced,In part time paid work, ,0,0,0,0,0,0,1,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001989,6,Westwood Ward,SW,26.02,.403053742,29,High Mental Wellbeing
Fairly satisfied,3,Tend to agree,Fairly safe,Very safe,Got worse to live in,Fairly strongly,Fairly strongly,I feel the same,Neither agree nor disagree,Tend to disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Definitely agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,0 days,Some of the time,Often,Often,Often,Often,Often,Often,Not at all,Only sometimes,None,1 hour but less than 2 and a half hours,None,None,Some but less than 1 hour,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,Yes - it has changed my perception in a positive way,4 or more,2 or 3,Yes,Yes,8,3,3,0 - Not worried at all,2,7,3,2,2,2,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Male,65-74,Married,In part time paid work, ,0,0,0,0,1,0,1,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001988,6,St. Michael's Ward,SE,24.11,.422836804,27,Average Mental Wellbeing
Fairly satisfied,3,Tend to agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Not very strongly,Not very strongly,I feel the same,Tend to agree,Tend to disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Tend to agree,Definitely disagree,Tend to agree,Tend to agree,Definitely agree,Definitely disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,7 days,5 days,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Rarely,Often,Not at all,Only sometimes,Some but less than 1 hour,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,Yes - it has changed my perception in a positive way,1,1,Yes,Don't know,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,1,2,2,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,65-74,Married,Retired, ,0,0,0,0,0,1,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001991,8,Earlsdon Ward,SW,17.98,.403053742,19,Possible Depression
Neither satisfied nor dissatisfied,2,Tend to disagree,Neither safe nor unsafe,Fairly safe,Got worse to live in,Not very strongly,Not at all strongly,I feel the same,Neither agree nor disagree,Tend to disagree,Not at all likely,Fair,"Yes, but I no longer smoke","No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Tend to agree,Definitely agree,Tend to agree,Tend to agree,Tend to agree,Don't know,Tend to agree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Rarely,Rarely,Some of the time,Often,Often,None of the time,Often,"Yes, limited a little",Only sometimes,None,Some but less than 1 hour,Some but less than 1 hour,Some but less than 1 hour,None,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,Don't know,Don't know,6,0 - Not worried at all,0 - Not worried at all,5,0 - Not worried at all,6,0 - Not worried at all,1,0 - Not worried at all,1,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,55-64,Divorced,Retired, ,0,0,0,0,1,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001985,3,Upper Stoke Ward,SE,18.59,.668158302,20,Possible Depression
Fairly satisfied,I haven't visited Coventry City Centre in the last year,I haven't visited Coventry City Centre in the last year,Fairly safe,Fairly safe,Got worse to live in,Very strongly,Not very strongly,I feel more of a sense of belonging,Tend to agree,Tend to agree,Not very likely,Very bad,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least 5 portions,Tend to agree,Definitely disagree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Definitely agree,Definitely disagree,Never,You and other household members always had enough of the kinds of foods you wanted to eat,7 days,4 days,Some of the time,Some of the time,Some of the time,Often,Often,Rarely,Often,"Yes, limited a lot",Only sometimes,None,1 hour but less than 2 and a half hours,None,More than 2 and a half hours,None,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Virtual,Virtual,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Radio 1 at the Memorial Park, , ,No - I don't think it has changed my perception,None,None,Don't know,Don't know,3,3,8,8,7,8,2,8,7,5,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,No,Female,65-74,Married,Self-employed, ,0,0,0,0,0,1,1,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001982,10,Woodlands Ward,SW,20.73,.403053742,23,Average Mental Wellbeing
Fairly satisfied,1 - Terrible,Tend to disagree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Fairly strongly,Not very strongly,I feel the same,Neither agree nor disagree,Tend to agree,Not very likely,Fair,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Tend to agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,5-6 days,4 days,Rarely,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,"Yes, limited a little",Never,None,More than 2 and a half hours,Some but less than 1 hour,None,None,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Playing golf,Watching Cricket,Watching Football,No - I don't think it has changed my perception,None,None,Don't know,Don't know,0 - Not worried at all,0 - Not worried at all,8,0 - Not worried at all,0 - Not worried at all,5,1,5,0 - Not worried at all,3,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,65-74,Married,Retired, ,0,0,0,0,0,1,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001980,10,Woodlands Ward,SW,19.25,.302387131,21,Average Mental Wellbeing
Fairly satisfied,3,Neither agree nor disagree,Neither safe nor unsafe,Fairly safe,Got worse to live in,Fairly strongly,Not very strongly,I feel the same,Tend to agree,Tend to agree,Fairly likely,Very good,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,0 days,Often,Often,Often,Some of the time,Some of the time,Often,Some of the time,Not at all,Prefer not to say,Some but less than 1 hour,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Theatre,Sports centre,Cathedral,Yes - its has changed my perception in a negative way,None,None,No,Don't know,0 - Not worried at all,0 - Not worried at all,6,0 - Not worried at all,2,0 - Not worried at all,0 - Not worried at all,5,0 - Not worried at all,2,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,65-74,Married,Retired, ,0,0,0,0,0,2,0,Heterosexual, ,Prefer not to say, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001998,10,Wainbody Ward,SW,22.35,.302387131,25,Average Mental Wellbeing
Very satisfied,5 - Fantastic,Strongly agree,Fairly safe,Very safe,Got better to live in,Very strongly,Fairly strongly,I feel the same,Tend to agree,Tend to agree,Very likely,Very good,No,"No, I have never used e-cigarettes",At least 5 portions,Tend to agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Tend to agree,Once or twice a month,"You and other household members had enough to eat, but not always the kinds of food you wanted",I Don't drink,0 days,Some of the time,All of the time,All of the time,Often,All of the time,All of the time,Often,Not at all,Quite often,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Both,Virtual,Virtual,Not attended/done at least three times in past 12 months,Virtual,In person,In person,Yes,In person,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person, , , ,Yes - it has changed my perception in a positive way,2 or 3,2 or 3,Yes,Don't know,7,5,0 - Not worried at all,0 - Not worried at all,3,6,8,5,2,6,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to,No,Male,35-44,Married,In part time paid work, ,2,3,0,0,2,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,Black: Black British African, , ,Not an ex-services member or their dependant,E02001971,6,Bablake Ward,NW,28.13,1.5040457,31,High Mental Wellbeing
