survey,Please rate the quality of your experience:,I had a good time!,Did the event have an impact on your perception of Coventry?,This experience increases my pride in Coventry as an area.,Please indicate your gender?,What is your age bracket?,Do you identify as disabled?,Please indicate your ethnic origin and cultural background:,Ethnic Group,Sexuality
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Male,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Disagree,"Yes, it has worsened",Not Sure,Female,35 - 49,No,Asian or Asian British â€“ Indian,Asian or Asian British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,null,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Disagree,Female,50 - 64,Yes,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Disagree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,35 - 49,Yes,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,20 - 34,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Not Sure,Male,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,65 +,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Other,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Other,35 - 49,Prefer Not To Say,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Other,0 - 19,No,Mixed or Multiple - White and Black Caribbean,Mixed or multiple ethnic group,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Disagree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,null,null,null,null,null,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Agree,"No, it is the same",Agree,Female,0 - 19,No,Black or Black British â€“ Caribbean,"Black, African, Caribbean, or Black British",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Male,50 - 64,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",null,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,null,null,No,null,null,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",null,null,null,null,null,null,null,null,null,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Strongly Agree,"Yes, it has improved",Agree,Male,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Agree,Female,null,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,Asian or Asian British â€“ Pakistani,Asian or Asian British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Disagree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,null,null,null,null,null,null,null,null,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,null,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,Any Other Mixed Background,Mixed or multiple ethnic group,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,null,null,null,null,null,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Agree,"No, it is the same",Disagree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,35 - 49,Yes,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",null,null,null,null,null,null,null,null,null,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Not Sure,Female,null,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",Agree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",Agree,Male,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",Agree,Female,null,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,null,35 - 49,No,Asian or Asian British â€“ Indian,Asian or Asian British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Mixed or Multiple - White and Asian,Mixed or multiple ethnic group,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,null,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Other,0 - 19,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Disagree,Male,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,Yes,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has worsened",Strongly Disagree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,null,null,null,null,null,null,null,null,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Agree,Female,50 - 64,No,Prefer Not To Say,Prefer Not To Say,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,Yes,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,Other Ethnic Group â€“ Arab,Any other ethnic group,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,null,No,Prefer Not To Say,Prefer Not To Say,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",null,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Asian or Asian British â€“ Indian,Asian or Asian British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Male,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,20 - 34,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"Yes, it has improved",Not Sure,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Strongly Agree,"No, it is the same",Not Sure,Female,50 - 64,Yes,Asian or Asian British â€“ Indian,Asian or Asian British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Agree,Female,50 - 64,Yes,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Not Sure,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Not Sure,Female,35 - 49,No,Asian or Asian British â€“ Bangladeshi,Asian or Asian British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",null,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Agree,"Yes, it has improved",Agree,Female,35 - 49,Yes,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Good,Agree,"Yes, it has improved",Disagree,Female,50 - 64,No,Prefer Not To Say,Prefer Not To Say,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,20 - 34,No,Any Other Mixed Background,Mixed or multiple ethnic group,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Not Sure,Agree,"Yes, it has improved",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,null,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,65 +,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,35 - 49,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,65 +,No,Black or Black British â€“ Caribbean,"Black, African, Caribbean, or Black British",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Agree,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Agree,"No, it is the same",Not Sure,Male,50 - 64,No,White â€“ British,White British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Agree,Male,65 +,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Asian or Asian British â€“ Indian,Asian or Asian British,null
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
