Survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague? Where 10 - Extremely likely and 0 - Not at all likely,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,I've been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Which of the following best describes your religion?,Please indicate your ethnic origin and cultural background:,Ethnicity,How often would you say you have been worried about money during the last few weeks?
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Tend to disagree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,Retired,Not at all,65-74,Female,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Disagree,Disagree,Very good,Often,Some of the time,Often,Often,Often,Often,All of the time,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Excellent,null,null,null,Retired,Not at all,55-64,Male,Married,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,8,"No, my confidence has not increased",Strongly agree,Agree,Good,Often,Often,Some of the time,Some of the time,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,Good,In full time paid work,Not at all,35-44,Female,Married,Heterosexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,Self-employed,Not at all,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,4,"Yes, my confidence has increased",Agree,Agree,Fair,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Often,Not very strongly,Not very strongly,Don't know,Donâ€™t know,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,Not Sure,In full time paid work,Yes limited a little,45-54,Female,Co-habiting,Heterosexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,0,"No, my confidence has not increased",Agree,Disagree,Fair,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Not at all strongly,Not at all strongly,Definitely disagree,Very dissatisfied,Not sure,Poor,Disagree,Not Sure,Not Sure,Poor,null,Other; claiming Universal Credit from DWP,Not at all,45-54,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Agree,Very good,Some of the time,Often,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Not at all,45-54,Male,Single (never married and never registered a same sex civil partnership),Bisexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Strongly agree,Good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,Good,In full time paid work,Yes limited a little,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,7,"No, my confidence has not increased",Agree,Strongly disagree,Very good,Some of the time,Often,Some of the time,Often,Often,Often,Some of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Not Sure,Good,Good,In full time paid work,Not at all,45-54,Female,Married,Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Fair,Often,Often,Often,Some of the time,Often,Some of the time,All of the time,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Excellent,Good,In part time paid work,Yes limited a little,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Prefer not to say
City Host Survey - April 2022,2,Not sure,Agree,Disagree,Fair,null,Some of the time,null,null,null,None of the time,null,Very strongly,Very strongly,Tend to agree,Very satisfied,Not sure,Poor,Strongly disagree,Very Poor,Very Poor,Poor,Very Poor,In full time paid work,Yes limited a little,25-34,Non-binary,null,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,null
City Host Survey - April 2022,10,Not sure,Strongly agree,Disagree,Very good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,null,Retired,Not at all,55-64,Male,Married,Heterosexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,8,"Yes, my confidence has increased",Agree,Agree,Very good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,At home/not seeking work- (looking after the home or family),Not at all,55-64,Male,Married,Heterosexual,Buddhist,White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Good,Good,Good,null,Retired,Not at all,75 and over,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Not sure,Not sure,Fair,Some of the time,Some of the time,Some of the time,Some of the time,Often,Rarely,Often,Not at all strongly,Not very strongly,Don't know,Fairly dissatisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Not Sure,Not Sure,Not Sure,null,null,Yes limited a lot,45-54,Female,Married,Heterosexual,No religion,White - British,White British,null
City Host Survey - April 2022,6,Not sure,Agree,Agree,Bad,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Not very strongly,Donâ€™t know,Tend to disagree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Good,Good,Excellent,null,Doing unpaid/voluntary work,Yes limited a little,35-44,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,Retired,Not at all,65-74,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,"No, my confidence has not increased",Agree,Agree,Bad,Often,Often,Some of the time,Often,Often,Often,All of the time,Fairly strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Excellent,Excellent,In full time paid work,Yes limited a little,45-54,Female,Married,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,6,Not sure,Agree,Not sure,Bad,Some of the time,Rarely,Some of the time,Some of the time,Often,Some of the time,Often,Not very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Not Sure,Not sure,Poor,Poor,Good,Not Sure,Retired,Yes limited a lot,75 and over,Male,null,Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,7,Not sure,Agree,Not sure,Good,Often,Often,Often,Often,Often,Some of the time,All of the time,Fairly strongly,Not very strongly,Tend to agree,null,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Excellent,null,In full time paid work,Not at all,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,All of the time,All of the time,Some of the time,Some of the time,Often,Often,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Not Sure,In full time paid work,Not at all,45-54,Female,Divorced,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,6,"No, my confidence has not increased",Strongly agree,Disagree,Fair,Some of the time,Often,Often,Often,Some of the time,Often,All of the time,Not very strongly,Fairly strongly,Tend to disagree,Fairly satisfied,Not sure,Not Sure,Agree,Good,Good,Not Sure,null,Retired,Yes limited a little,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,Not sure,Agree,Not sure,Very good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Fairly strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Excellent,Excellent,Good,Good,In full time paid work,Not at all,45-54,Female,Separated but still legally married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Quite often
City Host Survey - April 2022,9,"Yes, my confidence has increased",Strongly agree,Not sure,Good,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,null,In full time paid work,Not at all,55-64,Female,Co-habiting,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Fair,Often,Often,null,Some of the time,Some of the time,Some of the time,null,Fairly strongly,null,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,Excellent,Good,Excellent,null,Doing unpaid/voluntary work,Yes limited a little,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,6,"No, my confidence has not increased",Agree,Not sure,Good,Often,Often,Some of the time,Often,Often,Some of the time,All of the time,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,Not sure,Good,Agree,Good,Good,Good,null,In part time paid work,Not at all,35-44,Female,Married,Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,8,Not sure,Agree,Not sure,Good,Some of the time,Often,Rarely,Often,Often,All of the time,Some of the time,Fairly strongly,Not very strongly,Definitely disagree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Good,Good,Good,null,In full time paid work,Not at all,35-44,Male,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,6,"No, my confidence has not increased",Agree,Disagree,Good,Some of the time,Some of the time,Often,Often,Often,Rarely,All of the time,Not very strongly,Fairly strongly,Tend to disagree,null,"No, it doesn't improve wellbeing",Good,Agree,null,null,Good,null,Retired,Not at all,65-74,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Fair,Some of the time,All of the time,All of the time,None of the time,Often,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Not Sure,Long-term sick or disabled,Yes limited a lot,35-44,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,null,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Some of the time,Often,Often,Often,Often,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Not Sure,Agree,Good,Good,Good,Good,Long-term sick or disabled,Not at all,55-64,Male,Co-habiting,Heterosexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,All of the time,Often,Often,All of the time,Some of the time,All of the time,Not very strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Excellent,Excellent,Excellent,Good,In full time paid work,Not at all,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Not sure,Good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Excellent,Excellent,Excellent,Not Sure,Retired,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,All of the time,Often,All of the time,All of the time,All of the time,None of the time,None of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Excellent,Excellent,Excellent,Very Poor,In full time paid work,Yes limited a lot,45-54,Prefer not to say,Single (never married and never registered a same sex civil partnership),Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Prefer not to say
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Fair,All of the time,All of the time,Often,All of the time,Often,Often,All of the time,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Good,Doing unpaid/voluntary work,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,3,"No, my confidence has not increased",Disagree,Disagree,Very good,Often,Some of the time,Some of the time,All of the time,All of the time,Often,All of the time,Very strongly,Very strongly,Tend to disagree,Very satisfied,"No, it doesn't improve wellbeing",Not Sure,Agree,Good,Good,Good,null,In full time paid work,Not at all,25-34,Female,Single (never married and never registered a same sex civil partnership),Gay woman/lesbian,No religion,White - Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",Only sometimes
City Host Survey - April 2022,6,"Yes, my confidence has increased",Agree,Agree,Good,Rarely,Some of the time,Some of the time,Often,Often,Often,Often,Fairly strongly,Very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Poor,Agree,Good,Good,Good,Good,In full time paid work,Not at all,55-64,Male,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",Only sometimes
City Host Survey - April 2022,7,"No, my confidence has not increased",Strongly agree,Agree,Good,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Often,Not very strongly,Fairly strongly,Tend to disagree,Fairly satisfied,Not sure,Poor,Not sure,Good,null,Good,null,Retired,Yes limited a little,65-74,Male,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,Self-employed,Not at all,45-54,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",Never
