survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Not stated, please specify","Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,"Not stated, please specify",Which of the following best describes your religion?,"Not stated, please specify",Please indicate your ethnic origin and cultural background:,Ethnic Group,Nearly there! Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Good,Excellent,Not Sure,Registered unemployed/signing on for job seekers allowance,No Response,Yes limited a lot,45-54,Male,Single (never married and never registered a same sex civil partnership),Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,0,Only sometimes
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Excellent,No Response,Retired,No Response,Not at all,55-64,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Never
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,All of the time,Often,All of the time,All of the time,Some of the time,All of the time,Very strongly,Very strongly,No Response,No Response,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Good,No Response,Excellent,No Response,Retired,No Response,Not at all,65-74,Male,Married,No Response,No Response,No Response,No Response,White â€“ British,White British,0,0,0,0,0,2,2,No Response
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,All of the time,Not at all strongly,Fairly strongly,Tend to disagree,Very dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,In full time paid work,No Response,Not at all,45-54,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,0,0,2,0,0,Almost all the time
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,Often,Often,Often,Often,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Other (please specify),Spiritualist,Any Other Ethnic Group,Any other ethnic group,0,0,0,0,0,0,0,Only sometimes
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,All of the time,Often,Often,All of the time,All of the time,All of the time,Donâ€™t know,Very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,Carer,No Response,Yes limited a lot,45-54,Female,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,"Quite often,"
City Host Survey - November 2021,4,"Yes, my confidence has increased",Agree,Agree,Fair,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Good,Not sure,Good,Not Sure,Good,Good,In part time paid work,No Response,Yes limited a little,55-64,Male,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,1,1,1,1,1,1,1,"Quite often,"
City Host Survey - November 2021,6,"No, my confidence has not increased",Strongly agree,Agree,Good,Rarely,Often,Rarely,Often,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Not sure,Not Sure,Poor,Good,No Response,In full time paid work,No Response,Not at all,35-44,Female,Prefer not to say,Prefer not to say,No Response,No Response,No Response,White â€“ British,White British,1,1,0,0,1,0,0,"Quite often,"
City Host Survey - November 2021,6,"Yes, my confidence has increased",Strongly agree,Agree,Fair,All of the time,All of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Not at all strongly,Not very strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,25-34,Female,Married,Heterosexual,No Response,No religion,No Response,Black or Black British â€“ Caribbean,"Black, African, Caribbean, or Black British",1,1,2,0,1,0,0,Almost all the time
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Strongly agree,Fair,Often,Some of the time,Often,All of the time,All of the time,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Yes limited a little,35-44,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,0,0,2,0,0,Only sometimes
City Host Survey - November 2021,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Often,Often,Some of the time,Some of the time,Often,Not very strongly,Not very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Poor,Strongly agree,Excellent,Excellent,Excellent,No Response,In full time paid work,No Response,Not at all,25-34,Male,Single (never married and never registered a same sex civil partnership),Gay man,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,0,0,Only sometimes
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,None of the time,Some of the time,All of the time,Some of the time,Often,All of the time,Rarely,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,No Response,Doing unpaid/voluntary work,No Response,Not at all,25-34,Male,Married,Prefer not to say,No Response,Muslim,No Response,Any Other Black Background,"Black, African, Caribbean, or Black British",4,No Response,No Response,No Response,No Response,No Response,No Response,Never
City Host Survey - November 2021,8,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Some of the time,Often,Often,Often,Often,Some of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Excellent,Excellent,Good,No Response,Retired,No Response,Not at all,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Asian or Asian British â€“ Pakistani,Asian or Asian British,2,0,0,0,0,2,2,Never
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,Often,Often,Often,Often,Often,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,Retired,No Response,Yes limited a lot,55-64,Male,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,No Response,2,0,0,"Quite often,"
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,Often,Often,Often,Some of the time,Often,Often,Often,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Good,Excellent,No Response,In full time paid work,No Response,Not at all,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Only sometimes
City Host Survey - November 2021,8,"No, my confidence has not increased",Agree,Agree,Good,All of the time,All of the time,Often,Often,Often,Some of the time,Often,Not very strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,55-64,Female,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,0,0,Only sometimes
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,9,"Yes, my confidence has increased",Strongly agree,Agree,Good,All of the time,Often,Some of the time,Often,Often,All of the time,Some of the time,Fairly strongly,Very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Good,Good,Excellent,Excellent,In full-time education,No Response,Not at all,16-24,Male,Single (never married and never registered a same sex civil partnership),Bisexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,3,0,0,"Quite often,"
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,Very good,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Good,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,6,"No, my confidence has not increased",Agree,Not sure,Good,Often,Often,Some of the time,Some of the time,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Definitely agree,No Response,"Yes, it improves wellbeing a little",Good,Not sure,Good,Not Sure,Not Sure,No Response,Retired,No Response,Not at all,65-74,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,2,Never
,9,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Some of the time,Often,Often,Often,Often,Not very strongly,Fairly strongly,Tend to disagree,Fairly dissatisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Not Sure,Excellent,No Response,Doing unpaid/voluntary work,No Response,Not at all,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other Ethnic Group,Any other ethnic group,1,0,0,0,4,0,0,"Quite often,"
,10 - Extremely likely,Not sure,Strongly disagree,Agree,Fair,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Good,Good,Good,No Response,Retired,No Response,Not at all,Prefer not to say,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,0,0,1,Only sometimes
,6,Not sure,Strongly agree,Agree,Fair,Some of the time,Rarely,Often,Often,All of the time,All of the time,All of the time,Fairly strongly,Not very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Not Sure,Agree,Good,Good,Good,No Response,In part time paid work,No Response,Not at all,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other Ethnic Group,Any other ethnic group,0,0,0,0,4,0,0,"Quite often,"
,8,"No, my confidence has not increased",Agree,Disagree,Fair,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,All of the time,Not very strongly,Not very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,Good,In full time paid work,No Response,Yes limited a little,35-44,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,Never
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,Some of the time,All of the time,Some of the time,Some of the time,All of the time,All of the time,All of the time,Fairly strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Good,Excellent,Not Sure,Doing unpaid/voluntary work,No Response,Not at all,25-34,Male,Prefer not to say,Heterosexual,No Response,Muslim,No Response,Asian or Asian British â€“ Pakistani,Asian or Asian British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,"Quite often,"
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,Often,Some of the time,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Good,Good,Retired,No Response,Not at all,65-74,Female,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,0,No Response,2,Never
,9,"Yes, my confidence has increased",Strongly agree,Not sure,Good,Some of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Often,Not at all strongly,Not very strongly,Tend to agree,Fairly satisfied,Not sure,Excellent,Agree,Excellent,Excellent,Excellent,No Response,In full-time education,No Response,No Response,25-34,Male,Single (never married and never registered a same sex civil partnership),Prefer not to say,No Response,No religion,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,No Response,0,0,Almost all the time
,10 - Extremely likely,Not sure,Agree,Not sure,Very good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Very strongly,Don't know,Fairly dissatisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Excellent,Excellent,Excellent,No Response,In full time paid work,No Response,Not at all,35-44,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,Never
,10 - Extremely likely,"Yes, my confidence has increased",Not sure,Agree,Very good,Often,Often,Often,Often,Often,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Good,Good,Good,No Response,Doing unpaid/voluntary work,No Response,Yes limited a little,35-44,Male,Married,No Response,No Response,Muslim,No Response,Any Other Ethnic Group,Any other ethnic group,1,1,2,No Response,2,No Response,No Response,Only sometimes
,8,"No, my confidence has not increased",Agree,Agree,Very good,Some of the time,Often,Often,All of the time,All of the time,Some of the time,Some of the time,Not very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,No Response,Retired,No Response,Not at all,65-74,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,No Response,No Response,No Response,No Response,No Response,1,Only sometimes
,6,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,Often,Some of the time,Often,Often,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to disagree,Very satisfied,"Yes, it improves wellbeing a little",Poor,Agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,45-54,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,"Quite often,"
,8,"Yes, my confidence has increased",Agree,Agree,Good,Rarely,All of the time,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,Good,In full time paid work,No Response,Not at all,55-64,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,3,0,0,Only sometimes
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Very good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,No Response,Not at all,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",No Response,0,1,0,3,1,1,Never
,7,"No, my confidence has not increased",Agree,Disagree,Very good,Some of the time,Some of the time,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,Not sure,Excellent,Agree,Good,Good,Excellent,No Response,Retired,No Response,Not at all,65-74,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,2,Never
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,9,"Yes, my confidence has increased",Agree,Agree,Good,Often,Often,Often,Some of the time,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,Not Sure,In full time paid work,No Response,Not at all,35-44,Female,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Asian or Asian British â€“ Chinese,Asian or Asian British,No Response,0,0,0,2,0,0,Only sometimes
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,9,"No, my confidence has not increased",Agree,Agree,Very good,Often,Often,Often,Often,All of the time,Often,All of the time,Fairly strongly,Fairly strongly,Definitely disagree,Fairly dissatisfied,Not sure,Good,Agree,Good,Not Sure,Good,Not Sure,In part time paid work,No Response,Not at all,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,1,No Response,No Response,Never
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,10 - Extremely likely,Not sure,Agree,Not sure,Very good,Often,Some of the time,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,Retired,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Only sometimes
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,Often,Often,Often,All of the time,All of the time,All of the time,Often,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,No Response,No Response,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,3,0,2,Never
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Fairly strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Excellent,Excellent,Excellent,Not Sure,In full time paid work,No Response,Not at all,35-44,Male,Prefer not to say,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Prefer Not To Say,Prefer Not To Say,0,1,0,0,No Response,0,0,Prefer not to say
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,All of the time,Some of the time,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Not Sure,Good,Good,No Response,Retired,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,2,Only sometimes
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Excellent,Excellent,Excellent,Not Sure,In part time paid work,No Response,Not at all,16-24,Female,Single (never married and never registered a same sex civil partnership),Bisexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,No Response,1,3,0,0,Only sometimes
,7,Not sure,Agree,Agree,Bad,Some of the time,Often,Some of the time,Some of the time,Often,Often,Often,Very strongly,Very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,Doing unpaid/voluntary work,No Response,Yes limited a lot,45-54,Female,Prefer not to say,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,1,1,1,"Quite often,"
,10 - Extremely likely,"Yes, my confidence has increased",Agree,No Response,Good,Often,All of the time,Often,All of the time,All of the time,Often,Often,Donâ€™t know,Fairly strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Good,No Response,Retired,No Response,Yes limited a little,65-74,Female,Married,Heterosexual,No Response,Hindu,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,2,2,2,Only sometimes
,5,"No, my confidence has not increased",Disagree,Not sure,Good,Some of the time,Rarely,Some of the time,Often,Often,Rarely,Often,Fairly strongly,Not very strongly,Don't know,Fairly satisfied,Not sure,Good,Disagree,Good,Good,Not Sure,No Response,Retired,No Response,Not at all,55-64,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,Never
,No Response,Not sure,Strongly agree,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,7,"No, my confidence has not increased",Strongly disagree,Not sure,Very good,Some of the time,Often,Some of the time,No Response,All of the time,No Response,No Response,Not very strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Good,Agree,Good,Good,Good,Good,Self-employed,No Response,Yes limited a little,45-54,Male,Co-habiting,Bisexual,No Response,No religion,No Response,White â€“ Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,2,0,0,Never
,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Often,Often,Some of the time,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Excellent,Excellent,No Response,In full time paid work,No Response,Not at all,45-54,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,1,0,4,0,0,"Quite often,"
,No Response,"Yes, my confidence has increased",Strongly agree,Agree,Good,All of the time,Often,Often,Often,Often,Often,Some of the time,Not very strongly,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,Good,Often,Often,Some of the time,Some of the time,Often,Often,Often,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Excellent,Good,Good,In part time paid work,No Response,Not at all,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,2,0,0,2,0,0,Never
,9,"Yes, my confidence has increased",Agree,Agree,Good,All of the time,Often,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,Not sure,Good,Agree,Good,Good,Good,Good,In full time paid work,No Response,Not at all,25-34,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Black or Black British â€“ African,"Black, African, Caribbean, or Black British",0,0,0,0,0,0,0,"Quite often,"
