survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Other please specify,Which of the following best describes your religion?,Other please specify,Please indicate your ethnic origin and cultural background:,Ethnic Group,Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,"Household composition: Adult (18-59-female, 18-64-male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Working (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Retired (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?",Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?,Which of the following best describes your current economic status?,Other please specify,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the selection events.,Please rate the quality of the core training.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,35-44,Male,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Very good,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Very strongly,Not very strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Not Sure
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,75 and over,Male,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,0,No Response,1,No Response,No Response,No Response,Never,Retired,No Response,Yes limited a little,Fair,Often,Often,Often,Often,Some of the time,All of the time,Some of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Not Sure,Good,Excellent,Good
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,55-64,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,0,0,1,1,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Good,Often,Often,Some of the time,Often,Often,Often,Often,Fairly strongly,Not very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,7,"Yes, my confidence has increased",Agree,Disagree,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Often,Often,All of the time,All of the time,All of the time,Often,All of the time,Not very strongly,Not very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Poor,Not sure,No Response,No Response,Poor,Not Sure,Good,No Response
City Host Survey - July 2021,5,"No, my confidence has not increased",Agree,Disagree,55-64,Female,Married,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Prefer Not To Say,Prefer Not To Say,0,0,0,0,1,0,2,No Response,No Response,No Response,Prefer not to say,Doing unpaid/voluntary work,No Response,Not at all,Good,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Not Sure,Agree,No Response,No Response,Good,Good,Not Sure,Not Sure
City Host Survey - July 2021,10 - Extremely likely,Not sure,Strongly agree,Strongly agree,55-64,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,Often,Some of the time,All of the time,Some of the time,All of the time,Often,Some of the time,Very strongly,Very strongly,Don't know,Very satisfied,"Yes, it improves wellbeing a lot",Not Sure,Disagree,No Response,No Response,Good,Not Sure,Good,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Strongly agree,Not sure,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,0,1,1,No Response,No Response,No Response,Only sometimes,Retired,No Response,Not at all,Very good,Often,Often,Often,Often,Often,Often,Often,Not very strongly,Fairly strongly,Tend to agree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,7,"No, my confidence has not increased",Agree,Disagree,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,0,0,No Response,No Response,No Response,Never,In part time paid work,No Response,Not at all,Good,Often,Often,Some of the time,Often,Often,Often,Often,Fairly strongly,Not very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Not Sure,Not sure,No Response,No Response,Good,Good,Not Sure,No Response
City Host Survey - July 2021,10 - Extremely likely,Not sure,Agree,Agree,35-44,Female,Separated but still legally married,Bisexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,1,1,0,2,0,0,No Response,No Response,No Response,"Quite often,",In full-time education,No Response,Not at all,Good,Some of the time,Some of the time,Some of the time,Some of the time,Often,Rarely,Often,Not at all strongly,Fairly strongly,Don't know,Fairly dissatisfied,Not sure,Excellent,Agree,No Response,No Response,Excellent,Good,Excellent,Excellent
City Host Survey - July 2021,5,Not sure,Agree,Not sure,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,1,1,1,1,1,0,0,No Response,No Response,No Response,Only sometimes,Not registered unemployed but actively seeking work (i.e. have actively looked for work in the last 4 weeks),No Response,Not at all,Good,Often,Some of the time,Often,Often,Often,Some of the time,Often,Fairly strongly,Donâ€™t know,Don't know,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,No Response,"Yes, my confidence has increased",Strongly agree,Agree,16-24,Female,Single (never married and never registered a same sex civil partnership),Other (please specify),straight,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,3,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Very good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,All of the time,Often,Very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,5,"Yes, my confidence has increased",Agree,Agree,No Response,Male,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,0,0,0,1,0,0,No Response,No Response,No Response,Only sometimes,In part time paid work,No Response,Not at all,Very good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,Not Sure
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,6,"Yes, my confidence has increased",Strongly agree,Agree,75 and over,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Often,Often,Often,Some of the time,Often,All of the time,Often,Fairly strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,No Response,No Response,Good,Good,Excellent,Good
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Disagree,65-74,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,1,No Response,No Response,No Response,Prefer not to say,Retired,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,"Yes, my confidence has increased",Strongly agree,Agree,35-44,Female,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Good,Often,Often,Often,All of the time,All of the time,Some of the time,All of the time,Fairly strongly,Fairly strongly,Definitely disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Poor,Disagree,No Response,No Response,Poor,Good,Poor,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,35-44,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Black or Black British â€“ African,"Black, African, Caribbean, or Black British",1,1,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In part time paid work,No Response,Not at all,Good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Donâ€™t know,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Excellent
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Not sure,45-54,Female,Separated but still legally married,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,0,1,1,No Response,No Response,No Response,"Quite often,",Doing unpaid/voluntary work,No Response,Yes limited a little,Fair,Often,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,4,"No, my confidence has not increased",Agree,Strongly disagree,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,1,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Very good,Often,Some of the time,Often,Often,Often,Often,Often,Not very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"No, it doesn't improve wellbeing",Not Sure,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,9,"Yes, my confidence has increased",Agree,Agree,25-34,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Good,Some of the time,Often,Some of the time,Often,Often,Often,Often,Not very strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,9,"No, my confidence has not increased",Agree,Disagree,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,0,0,2,0,0,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Fair,Often,Often,All of the time,None of the time,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,25-34,Male,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Good,Often,Often,Often,All of the time,Often,Often,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,45-54,Female,Prefer not to say,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,"Quite often,",Long-term sick or disabled,No Response,Yes limited a little,Good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,35-44,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Yes limited a little,Good,Often,All of the time,All of the time,Often,All of the time,Often,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,7,"No, my confidence has not increased",Strongly agree,Not sure,35-44,Female,Single (never married and never registered a same sex civil partnership),Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Prefer Not To Say,Prefer Not To Say,0,0,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full-time education,No Response,Not at all,Very good,Often,All of the time,Some of the time,Often,Often,All of the time,Some of the time,Fairly strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Not Sure,Not Sure,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,45-54,Female,Divorced,Heterosexual,No Response,Muslim,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,2,0,0,No Response,No Response,No Response,Almost all the time,In full time paid work,No Response,Not at all,Good,Some of the time,Some of the time,Often,Some of the time,Often,Often,All of the time,Fairly strongly,Very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,No Response,No Response,Good,Good,Good,Not Sure
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,Some of the time,Often,Some of the time,All of the time,Often,Often,All of the time,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,55-64,Male,Prefer not to say,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes limited a lot,Very good,Often,No Response,No Response,No Response,No Response,No Response,No Response,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,6,"Yes, my confidence has increased",Agree,Agree,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Asian or Asian British â€“ Pakistani,Asian or Asian British,No Response,0,0,0,No Response,2,2,No Response,No Response,No Response,Prefer not to say,Retired,No Response,Not at all,Prefer not to say,Often,Often,Often,Some of the time,Some of the time,Rarely,All of the time,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Excellent,Excellent,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Disagree,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,1,1,No Response,No Response,No Response,Never,In part time paid work,No Response,Not at all,Very good,All of the time,Often,Often,All of the time,All of the time,No Response,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Disagree,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",2,0,0,0,0,2,2,No Response,No Response,No Response,Never,Self-employed,No Response,Not at all,Good,Rarely,Often,Often,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Donâ€™t know,Tend to agree,Very satisfied,Not sure,Not Sure,Agree,No Response,No Response,Not Sure,Not Sure,Excellent,No Response
City Host Survey - July 2021,6,Not sure,Agree,Strongly disagree,55-64,Male,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,In full time paid work,No Response,No Response,Good,Often,All of the time,All of the time,All of the time,All of the time,No Response,No Response,Donâ€™t know,Donâ€™t know,Definitely agree,Neither satisfied nor dissatisfied,No Response,Very Poor,Not sure,No Response,No Response,Not Sure,Not Sure,Not Sure,Not Sure
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,25-34,Female,Married,Heterosexual,No Response,Hindu,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,1,1,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Very good,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Fairly strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Good,Excellent,No Response
City Host Survey - July 2021,8,"No, my confidence has not increased",Strongly agree,Not sure,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Yes limited a little,Fair,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Not sure,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,6,Not sure,Strongly agree,Agree,55-64,Female,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,0,0,1,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Good,Often,Often,Some of the time,Some of the time,Often,Rarely,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,55-64,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,No Response,No Response,No Response,No Response,25-34,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Asian or Asian British â€“ Indian,Asian or Asian British,1,1,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,"Quite often,",In part time paid work,No Response,Not at all,Fair,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,No Response,Some of the time,Donâ€™t know,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Strongly agree,Agree,45-54,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,4,0,0,No Response,No Response,No Response,Never,In part time paid work,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,1,1,No Response,No Response,No Response,Only sometimes,Retired,No Response,Not at all,Fair,Often,Often,Often,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,8,Not sure,Agree,Not sure,35-44,Prefer not to say,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other Asian Background,Asian or Asian British,0,0,0,0,1,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Good,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Excellent
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,6,Not sure,Strongly agree,Agree,55-64,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,0,1,0,No Response,No Response,No Response,Never,In part time paid work,No Response,Not at all,Good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Not Sure,Not sure,No Response,No Response,Good,Not Sure,Not Sure,No Response
City Host Survey - July 2021,6,"Yes, my confidence has increased",Strongly agree,Disagree,16-24,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,3,0,0,No Response,No Response,No Response,Never,In full-time education,No Response,Not at all,Very good,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,All of the time,Fairly strongly,Not very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Strongly agree,Not sure,25-34,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,1,3,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Very good,All of the time,Often,Often,All of the time,All of the time,Some of the time,All of the time,Fairly strongly,Very strongly,Definitely disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,"No, my confidence has not increased",Agree,Disagree,65-74,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,0,0,0,2,2,No Response,No Response,No Response,Never,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Very strongly,Definitely agree,Fairly satisfied,"No, it doesn't improve wellbeing",Good,Agree,No Response,No Response,Good,Good,Good,No Response
