Event,Programme,Venue,Venue Postcode,Commercial or Non-Commercial?,Co-Created,"Free Event, or Paid Event",Streamed on Social Media or Broadcast,Box Office,First Performance,No. of Performances
Bone Sparrow,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Paid Event,N/A,Belgrade Theatre,22/03/2022,8
Animals by Dens and Signals (School Performances),Green Futures,In School,VARIOUS,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,22/03/2022,Multiple
Try It Wellness Choir,Love Coventry,Methodist Central Hall,CV1 2HA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,24/03/2022,Various
Song and Soil Spring Appreciation Food Union,Green Futures,"Food Union CV5 Site, Coventry",CV5 8DH,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,27/03/2022,1
In Pursuit of Repetitive Beats,City of Culture Main Programme,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,29/03/2022,Installation
In Pursuit of Repetitive Beats - Symposium,City of Culture Main Programme,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,29/03/2022,1
Fighting Irish,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Belgrade Theatre,02/04/2022,16
Water Water Everywhere,Green Futures,IKEA Building,CV1 3AZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,02/04/2022,1
The Great Middlemarch Mystery,City of Culture Supported Programme,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,07/04/2022,-
Try It Maternal Journal,Love Coventry,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,08/04/2022,Various
Animals by Dens and Signals - Tile Hill,Green Futures,Tile Hill Library,CV4 9PL,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/04/2022,1
Animals by Dens and Signals - Bell Green,Green Futures,Bell Green Library,CV2 1LS,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,12/04/2022,1
Theatre Next Door: Time Machine Canley,Love Coventry,Canley Community Centre,CV4 8FT,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,12/04/2022,Multiple
Animals by Dens and Signals- Earlsdon,Green Futures,Earlsdon Carnegie Community Library,CV5 6FZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,13/04/2022,1
Animals by Dens & Signals - Coventry Central Library,Green Futures,Central Library,CV1 1FY,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,14/04/2022,1
Art Masterclass Living & Sculptures,Visual Arts Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,14/04/2022,1
Queenz – The Show With BALLS!,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/04/2022,22
Shark in the Park,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/04/2022,3
The Magnets: Legends,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/04/2022,14
Theatre Next Door: Dangerous Dave Jubilee Cres,Love Coventry,"Jubilee Crescent Community Centre, Coventry",CV6 5EX,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,15/04/2022,Multiple
Dragons and Mythical Beasts,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,15/04/2022,18
Animals by Dens and Signals - Jubilee Crescent,Green Futures,"Jubilee Crescent Community Centre, Coventry",CV6 5EX,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,16/04/2022,1
The Coming of the Gaels,City of Culture Main Programme,Bishop Ullathorne School Grounds,CV3 6BH,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,16/04/2022,5
Comedy Club 4 Kids,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,16/04/2022,22
FLOW Turning the Tide An Ocean Fair,City of Culture Main Programme,Bishop Ullathorne School Grounds,CV3 6BH,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,18/04/2022,5
Animals by Dens and Signals - Foleshill Community Centre,Green Futures,Foleshill Library,CV6 5BG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,19/04/2022,1
Animals by Dens and Signals - Hagard Community Centre,Green Futures,"The Hagard Community Centre, Coventry",CV3 3DG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,20/04/2022,1
Animals by Dens and Signals - Holbrooks Community Centre,Green Futures,Holbrooks Community Centre,CV6 4JU,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,21/04/2022,2
Art Masterclass Cross Stitch & Textile Art,Visual Arts Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,21/04/2022,1
Machine Memoirs Space: Test Event,Commercial Programme - The Reel Store,The Reel Store,CV1 1GU,Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,21/04/2022,Exhibition
Pirates of the Canal Basin,City of Culture Main Programme,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,21/04/2022,5
The Bubble Show,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,21/04/2022,4
Animals by Dens and Signals - Aldemoor Life Centre,Green Futures,Aldermoor LIFE Centre,CV3 1DA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,22/04/2022,2
New Music Biennial Breathliness Armonico,New Music Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,22/04/2022,1
New Music Biennial Illusions,New Music Biennial,HMV Empire,CV1 1LF,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,22/04/2022,1
New Music Biennial Paul Purgas,New Music Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,22/04/2022,1
New Music Biennial Urban Birds Arlene Sierra,New Music Biennial,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,22/04/2022,1
Theatre Next Door: Yukon Ho Unicorn SocialClub,Love Coventry,Unicorn Social Club,CV6 4DE,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,22/04/2022,Multiple
New Music Biennial 13 Vices,New Music Biennial,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
New Music Biennial BBC Concert Orchestra,New Music Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
New Music Biennial Bog Body by Keeley Forsyth,New Music Biennial,HMV Empire,CV1 1LF,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
New Music Biennial New Work Rakhi Singh ,New Music Biennial,HMV Empire,CV1 1LF,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
New Music Biennial Skip Dash Flow Jason Yarde,New Music Biennial,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
New Music Biennial Split the Air Martin Green,New Music Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
New Music Biennial The Moon Has Become,New Music Biennial,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
New Music Biennial The Power Of Glory,New Music Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/04/2022,1
Glenn Moore: Work In Progress,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,23/04/2022,1
Rob Auton: The Crowd Show (Work In Progress),Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,23/04/2022,1
Shoot Festival,City of Culture Main Programme,Various,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,23/04/2022,Festival
New Music Biennial 365 Aidan O'Rourke,New Music Biennial,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
New Music Biennial AFRODEUTSCHE,New Music Biennial,HMV Empire,CV1 1LF,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
New Music Biennial Bethia by Daniel Elms,New Music Biennial,HMV Empire,CV1 1LF,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
New Music Biennial From The Vestry Coby Sey,New Music Biennial,HMV Empire,CV1 1LF,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
New Music Biennial HandsFree by Anna Meredith,New Music Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
New Music Biennial Jessica Curry,New Music Biennial,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
New Music Biennial The Crossing Roopa Panesar,New Music Biennial,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
Song and Soil Growing Together at Food Union,Green Futures,"Food Union CV5 Site, Coventry",CV5 8DH,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,24/04/2022,1
Eleanor Tiernan: Work in Progress,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,24/04/2022,1
Pierre Novellie: Why Can't I Just Enjoy Things? (Work in Progress),Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,24/04/2022,1
Richard Sadler: Sadler and the Cathedral,Visual Arts Programme,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,24/04/2022,Exhibition
Haus Of Kraft Presents: Beneath The Seams,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Non-Commercial,Co-Created,Paid Event,N/A,Assembly,26/04/2022,1
Cine Cov presents School of Rock,CineCov,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,27/04/2022,1
Shoot Festival: Sound In Bloom,City of Culture Supported Programme,The Tin Music and Arts,CV1 4LY,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,27/04/2022,1
Haus of Kraft Welcomes: Junk Kouture,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Non-Commercial,Co-Created,Paid Event,N/A,Assembly,27/04/2022,1
Waterways,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,28/04/2022,Multiple
Reform The Norm: Hungry Nation Part2,Caring City,Albany Theatre,CV5 6JQ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,28/04/2022,2
Buffy ReVamped,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,28/04/2022,6
Global Youth Series - Day 3: We Move,Youthful Cities,"Square One, The Hub / Online",CV1 5FB,Non-Commercial,Co-Created,Free Event,Streamed,Registrations,28/04/2022,1
Crewdson & Cevanne,Green Futures,The Tin Music and Arts,CV1 4LY,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,29/04/2022,1
Dr Jekyll and Mr Hyde,CineCov,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,29/04/2022,2
Norfolk Broads,Love Coventry,"The Village Butty, Coventry Canal Basin",CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,30/04/2022,1
Waterside Walk Community Iftar Muslim Hike,Green Futures,Coventry Community Resource Centre,CV1 3JQ,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,30/04/2022,1
Mighty Kids Beatbox Comedy Show,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,30/04/2022,18
Showmanship,Commercial Programme - Assembly Festival Garden 2022,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,30/04/2022,2
Presence Poetry Festival,Love Coventry,The Greyhound Inn,CV6 6DF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,30/04/2022,1
The Lismorian Ball,City of Culture Main Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,01/05/2022,1
Wicker Man Anglican Chapel London Rd Cemetery,CineCov,London Road Cemetery,CV1 2JT,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,01/05/2022,1
Rivers of the World,Love Coventry,IKEA Building,CV1 3AZ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,01/05/2022,Exhibition
"Coventry Opens: Jigsaw of History Walking Tour, presented by Sky Blue City Walks ",Coventry Opens,Broadgate,CV1 1FS,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Women in Motorsport,Coventry Opens,Coventry Transport Museum,CV1 1JD,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: Music Studio, presented by The Highlife Centre",Coventry Opens,WAVA Hall,CV2 4LY,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: Godiva’s Cathedral Quarter Walk, presented by Sky Blue City Walks ",Coventry Opens,Broadgate,CV1 1FS,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: The Ambitiously Comprehensive Whistle-Stop Public Art Walking Tour, presented by Sky Blue City Walks ",Coventry Opens,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: The Land's Heart is Greater Than its Map, by Olivia Furber & Ramzi Maqdisi",Coventry Opens,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: Barnum - the Greatest Showman In The World, presented by Coventry Youth Operatta Group ",Coventry Opens,Albany Theatre,CV5 6JQ,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Rock Choir Taster Rehearsal,Coventry Opens,Finham Park 2,CV4 9WT,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Sam McNulty: Open Mic,Coventry Opens,The Gatehouse Tavern,CV1 4AN,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: Talking Birds: Open House at The Nest, visit The Whale",Coventry Opens,"The Nest, Daimler Powerhouse Creation Centre",Cv1 4DQ,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: Artist in residence, Alan Grantham ADHD Art",Coventry Opens,Earlsdon Carnegie Library,CV5 6FZ,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: Drop in have a go at archery, presented by Archery 4 All",Coventry Opens,Koco Community Centre,CV1 3JQ,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: The Illegal Eagles,Coventry Opens,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
"Coventry Opens: Family Fun Day: arts, crafts, music, poetry, building tours, heritage talks, and food",Coventry Opens,Central Methodist Hall,CV1 2HA,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Inside Out Open Day,Coventry Opens,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Open Day including tours,Coventry Opens,The Weaver's House,CV1 3BQ,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Inside Out Tour,Coventry Opens,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Open Day,Coventry Opens,Coventry Watch Museum,CV1 3BA,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Free family event to celebrate Children's Book Week,Coventry Opens,Lower Precinct Shopping Centre,CV1 1NQ,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Open Studio,Coventry Opens,Holyhead Studios,CV1 3AU,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Inside Out - drama games workshop age 8-14,Coventry Opens,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Live Band TBC + DJ Shanksy ,Coventry Opens,The Albany Club,CV5 6EG,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Unapologetic Daytimer: Brown girl line-up controlling the sounds,Coventry Opens,HMV Empire,CV1 1LP,Non-Commercial,Co-Created,Paid Event,N/A,Various,05/05/2022,-
Coventry Opens: Exhibition: Poetry in the Windows,Coventry Opens,Shopfront Theatre,CV1 3HW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Try It! Wellness Choir,Coventry Opens,Central Methodist Hall,CV1 2HA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Confidence Building & Business Awareness, presented by The Highlife Centre",Coventry Opens,WAVA Hall,CV2 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Two Tone Museum and Coventry Music Museum,Coventry Opens,Coventry Music Museum and Two Tone Village,CV2 4ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Coventry Archives,Coventry Opens,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Creative Connections Coventry,Coventry Opens,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: West Midlands Police Pop-Up Museum,Coventry Opens,West Midlands Police Museum,CV1 1LF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Exhibition: Coventry’s distinct contribution to the history of the built environment,Coventry Opens,Metropolis,CV1 5RU,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Craft Session, materials and refreshments provided by Coffeetime Craft Club",Coventry Opens,Broad Street Meeting Hall,CV6 5BG,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Exhibition: Visions of Faith, by Heather Norman",Coventry Opens,Holy Trinity Church,CV1 5EX,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Floor 1 Photography exhibition, presented by steppers_uk / Floor 1 Portraits exhibition, presented by Sitting Rooms of Culture & LTB / Floor 3 Stories from the Factory of Ghosts photo exhibition by Neil McNaught",Coventry Opens,Litten Tree Building,CV1 1EX,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Exhibition: In Bloom, presented by Shoot Festival: Moments of Broken Promises, by Michael Snodgrass",Coventry Opens,Artspace Arcadia,CV1 3HW,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Cov Loves to Boogie,Coventry Opens,The Albany Club,CV5 6EG,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Terrace Bar,Coventry Opens,HMV Empire,CV1 1LP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Exhibition: Hirsute & High Vis by Simon Gee,Coventry Opens,FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Fire & Dust poetry Open Mic, presented by Here Comes Everyone",Coventry Opens,Cafe Morso,CV1 1GF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Oz and Armonico: Gin & Phonic, presented by Historic Coventry Trust",Coventry Opens,Drapers' Hall,CV1 5RN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: FarGo Jazz Jam ,Coventry Opens,FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: English classes for refugees & migrants, presented by CRMC",Coventry Opens,Central Methodist Hall,CV1 2HA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Maternal Journal,Coventry Opens,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Swanswell Open House, presented by Historic Coventry Trust",Coventry Opens,Cook Street Gate,CV1 1RA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Open House, presented by Historic Coventry Trust",Coventry Opens,Swanswell Gate,CV1 1JD,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Exhibition: Caludon Castle,Coventry Opens,Coventry Archives,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Coventry Real Ale Festival, presented by Coventry CAMRA",Coventry Opens,Butts Park Arena,CV1 3GE,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: African Drumming Therapy, presented by The Highlife Centre",Coventry Opens,WAVA Hall,CV2 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Room 1: Mantlet + support; Room 2: Danny Ansell Band + support ,Coventry Opens,"Arches Venue, 22-23 Arches Industrial Estate",CV1 3JQ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Friends Club, presented by The Highlife Centre",Coventry Opens,WAVA Hall,CV2 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Limehouse Lizzy,Coventry Opens,HMV Empire,CV1 1LP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Devoted to Rock,Coventry Opens,The Albany Club,CV5 6EG,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Club Classics with Paul Morrell ,Coventry Opens,The Yard,CV1 1LH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Friday Night Cabaret with Trixie Lee,Coventry Opens,The Yard,CV1 1LH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: The Shape of Sound. Presented by Historic Coventry Trust in partnership with Coventry City Council,Coventry Opens,"Anglican Chapel, London Road Cemetery",CV1 2JT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Open doors, with free ticketed tours of the venue, presented by Historic Coventry Trust",Coventry Opens,Drapers' Hall,CV1 5RN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Open House,Coventry Opens,St Mary's Guildhall,CV1 5RN,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Youth Vision Choir (age 12-24), presented by The Highlife Centre",Coventry Opens,WAVA Hall,CV2 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Alcohol Ink Painting workshop with Tanja Mariadoss from Ardo Arts, presented by Sitting Rooms of Culture CIC",Coventry Opens,Coventry Market,CV1 3HT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Community Transport Innovation Celebration Day presented by Heart of England CRP, feat. Highly Sprung at 17:00 & 19:00",Coventry Opens,Coventry Train Station,CV1 2GT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Open house with mini exhibition, and presence from Out in the UK who support LGBT asylum seekers and refugees",Coventry Opens,Coventry Refugee & Migrant Centre,CV1 5FX,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Mead Gallery Exhibition Opening: Prophecy,Coventry Opens,Warwick Arts Centre,CV4 7AL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: State of Quo,Coventry Opens,"Arches Venue, 22-23 Arches Industrial Estate",CV1 3JQ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: In-store gig at Just Dropped In, The Stayawakes & Lovebreakers",Coventry Opens,FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: The Ultimate Boyband Party Show,Coventry Opens,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: City of Birmingham Symphony Orchestra (CBSO) ,Coventry Opens,Warwick Arts Centre,CV4 7AL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Get it Loud in Libraries presents: Gustaf + support,Coventry Opens,Coventry Central Library,CV1 1FY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: IDENTITY with DJ Simon Baker,Coventry Opens,The Yard,CV1 1LH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Black Parade,Coventry Opens,HMV Empire,CV1 1LP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
"Coventry Opens: Open House: Charterhouse Reveals the Elizabethan Wall Painting, presented by Historic Coventry Trust",Coventry Opens,Charterhouse Car Park,CV1 2JR,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Soul Sunday ,Coventry Opens,FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Alternative Sunday Lunch,Coventry Opens,"Arches Venue, 22-23 Arches Industrial Estate",CV1 3JQ,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Family Sunday ,Coventry Opens,Warwick Arts Centre,CV4 7AL,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Lord Mayor's Pet Service,Coventry Opens,Central Methodist Hall,CV1 2HA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
Coventry Opens: Drop-in book launch & signing: Money and Mental Wellbeing by Dr Afiniki Akanet (MRCGP),Coventry Opens,Coventry Central Library,CV1 1FY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,05/05/2022,-
