IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
854,854,50-64,Male,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Not sure,Disagree,Agree,Assembly gardens,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,,Theatre,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,,,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,The opportunity to show off my city,Three spires,,Definitely,Not really,Somewhat,Definitely,Not really,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Agree,,Don't know,Cv64fq,,No,Any Other White Background,Heterosexual/Straight,Yes,,Holbrook,North West,CAPI,4 - Financially Stretched,1.0107265
855,855,20-34,Female,Yes,Yes,No,No,Yes,No,Agree,Disagree,Agree,Not sure,More evebd in city for peope of all ages,,,,,,,,,,,,,,,,Opportunity/improvement,,,,,,Agree,Not sure,Agree,Disagree,Agree,Agree,,"Pubs, clubs, and bars",,,,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not likely at all,,University city,,Not at all,Not really,Not really,Somewhat,Not really,Very important,Fairly important,Very important,Fairly important,Very important,Fairly important,Fairly important,Not at all important,Disagree,,,Cv21nz,,No,White – British,Heterosexual/Straight,No,,Longford,North East,CAPI,3 - Comfortable Communities,0.8246246
856,856,16-19,Female,Yes,Yes,No,Yes,Yes,No,Disagree,Agree,Agree,Not sure,Less uni buildings,,,,,,,,,,,,Investment/development/funding,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,,,,,,1-2,The cost,,,,,,,,Events that are based on my interests,,,,,,,,Fairly likely,Visiting the city and seeing existing attractions,Cathedral,,Somewhat,Somewhat,Not really,Somewhat,Somewhat,Not very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Fairly important,Not at all important,Agree,,Don't know,Cv2 5bh,,"Yes, limited a little",White – British,Bisexual,No,,Wyken,North East,CAPI,4 - Financially Stretched,0.8246246
857,857,20-34,Female,Yes,Not sure,No,No,No,No,Disagree,Agree,Agree,Agree,More food places,,,,Shops/restaurants e.g. variety,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly agree,Not sure,Agree,,,,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,,,,,Fairly likely,Looking for new experiences,Ratchet,,Not really,Somewhat,Not really,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Not very important,Fairly important,Fairly important,Fairly important,Fairly important,Not sure,,,Cv2 1ep,,"Yes, limited a little",Prefer not to say,Heterosexual/Straight,No,,Henley,North East,CAPI,5 - Urban Adversity,0.8246246
858,858,20-34,Female,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Agree,Strongly disagree,Strongly disagree,Agree,More diversity across religions & cultures _ understanding them!,,,,,,,,,,,,,,Diversity/faith/inclusive,,,,,,,,Not sure,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,,,,,Not very likely,,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not very important,Fairly important,Not very important,Fairly important,Not very important,Fairly important,Not very important,Fairly important,Agree,,Don't know,,Prefer not to say,No,Asian or Asian British – Bangladeshi,Heterosexual/Straight,No,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9480587
859,859,20-34,Female,Yes,No,Yes,No,Yes,No,Not sure,Not sure,Agree,Agree,Beter roads no potholes,,,,,,,,Coventry City to be cleaner/safer/improved,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,None of these,,,,,Location,Feeling unsafe being out at night,Feeling unsafe being out during the day,,,Events that are based on my interests,Events that involve family and friends,,,,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not likely at all,,Boring  Lifeless,,Not at all,Not at all,Not at all,Somewhat,Not really,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Fairly important,Not very important,Disagree,,,CV2 4LB,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Upper Stoke,South East,CAPI,5 - Urban Adversity,0.9480587
860,860,20-34,Female,Yes,No,No,No,No,No,Disagree,Agree,Disagree,Disagree,Better food places more variety,,,,Shops/restaurants e.g. variety,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,,,,Cinema,,,,1-2,,,,Location,Feeling unsafe being out at night,Feeling unsafe being out during the day,,,,Events that involve family and friends,,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,City of culture  Blitz,,Not really,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Very important,Don't know / Not sure,Not very important,Agree,,Don't know,CV1 5Fff,,No,Asian or Asian British – Bangladeshi,Heterosexual/Straight,No,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9480587
861,861,50-64,Male,Yes,Yes,Yes,Yes,No,Not sure,Disagree,Agree,Agree,Disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Disagree,Not sure,Not sure,Strongly disagree,Strongly disagree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not likely at all,,,Don't know,Not really,Not at all,Not at all,Not really,Definitely,Not at all important,Not very important,Not very important,Don't know / Not sure,Not at all important,Not at all important,Not very important,Not at all important,Agree,"Events at The Herbert Art Gallery, and different venues such as HMV Empire.",,CV49JA,,No,White – British,Prefer not to say,No,,Westwood,South West,CAPI,1 - Affluent Achievers,0.9638936
862,862,50-64,Male,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Strongly disagree,Not sure,More opportunities for those who would not be able to afford different art and cultural opportunities on a regular basis.,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,"Diversity, youthful, youth pride, on the rise, improving.",,Definitely,Definitely,Somewhat,Definitely,Definitely,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Agree,Some of the new art at the Herbert Art Gallery.,,CV49JA,,No,Any Other White Background,Heterosexual/Straight,No,,Westwood,South West,CAPI,1 - Affluent Achievers,0.9638936
863,863,65+,Female,Yes,Yes,Yes,No,No,No,Disagree,Strongly agree,Agree,Disagree,More things for older people to take part in.,,,,,,,,,Inclusion for elderly/disabilities,,,,,,,,,,,,,Agree,Not sure,Not sure,Agree,Not sure,Agree,Museums and galleries,,,,Theatre,,,,,1-2,The cost,,The events that are on don't appeal to me,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not very likely,,"Cosmopolitan, youthful, friendly.",,Somewhat,Not at all,Not really,Somewhat,Somewhat,Very important,Very important,Fairly important,Fairly important,Fairly important,Not at all important,Fairly important,Not very important,Agree,,Don't know,CV49JA,,No,Prefer not to say,Prefer not to say,No,,Westwood,South West,CAPI,1 - Affluent Achievers,0.7896985
864,864,20-34,Female,Yes,Yes,Yes,Yes,Yes,No,Disagree,Disagree,Disagree,Agree,For people to see Coventry as a good place to live and visit.,,,,,,,,,,,,,,,Long term impact,,,,,,,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Looking for new experiences,"Home, safe, calm.",,Definitely,Somewhat,Definitely,Definitely,Definitely,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Agree,"Art pieces at Fargo's, sewing classes at Fargo's.",,CV49JA,,No,White – British,Heterosexual/Straight,No,,Westwood,South West,CAPI,1 - Affluent Achievers,1.2515570
865,865,16-19,Male,Yes,Yes,No,No,Yes,No,Disagree,Disagree,Disagree,Not sure,"To see the Festival Garden stay, and for more activities to go on in the city centre.",,Assembly/festival garden to stay,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Agree,Disagree,Agree,Disagree,Agree,,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not likely at all,,"Cathedral, transport, university.",,Not really,Somewhat,Not really,Not really,Somewhat,Fairly important,Fairly important,Not very important,Not very important,Fairly important,Not very important,Fairly important,Not very important,Agree,"Imagine years, for arts and crafts.",,CV49JA,,No,White – British,Heterosexual/Straight,No,,Westwood,South West,CAPI,1 - Affluent Achievers,1.3299953
866,866,65+,Female,Yes,Yes,No,No,No,No,Disagree,Agree,Disagree,Disagree,To see more of a community spirit in the city and for people to come together.,,,,,,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Agree,Agree,Disagree,Not sure,Disagree,Disagree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not likely at all,,I'd like to move.,,Not really,Not at all,Somewhat,Definitely,Somewhat,Not very important,Fairly important,Don't know / Not sure,Not very important,Fairly important,Fairly important,Don't know / Not sure,Don't know / Not sure,Disagree,,,CV49JA,,"Yes, limited a little",White – British,Heterosexual/Straight,No,,Westwood,South West,CAPI,1 - Affluent Achievers,0.7896985
867,867,20-34,Female,Yes,Yes,Yes,No,Yes,No,Disagree,Disagree,Disagree,Strongly agree,For the Festival Garden to stay in the city.,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Family friendly.,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,"We go to different events at the Transport Museum, and the city centre has been improved.",,CV49JA,,No,White – British,Heterosexual/Straight,No,,Westwood,South West,CAPI,1 - Affluent Achievers,1.2515570
868,868,50-64,Female,Yes,No,No,No,Yes,No,Disagree,Disagree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,Visiting the city and seeing existing attractions,,Don't know,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,,Don't know,CV49JA,,No,White – British,Heterosexual/Straight,No,,Westwood,South West,CAPI,1 - Affluent Achievers,0.8615715
869,869,16-19,Male,Yes,No,No,No,Yes,No,Strongly disagree,Disagree,Disagree,Not sure,For more professional shows to come to Coventry and for Coventry a betterr status and legacy.,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Not sure,Not sure,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,"A lot of pubs, place where I grew up, comfortable place, diverse.",,Somewhat,Somewhat,Somewhat,Somewhat,Definitely,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Very important,Not very important,Not very important,Disagree,,,CV49HR,,No,White – British,Prefer not to say,No,,Westwood,South West,CAPI,4 - Financially Stretched,1.3299953
870,870,65+,Female,Yes,Yes,No,No,No,No,Not sure,Not sure,Disagree,Disagree,Don't know,,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,Live events,,Theatre,Cinema,,,,11+,,,,,,,,,,,,,,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Visiting the city and seeing existing attractions,Exciting for people to attend,,Definitely,Definitely,Somewhat,Somewhat,Not really,Not very important,Fairly important,Very important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Agree,Art Belgrade was good,,CV3 6AE,,"Yes, limited a little",White – British,Bisexual,No,,Wainbody,South West,CAPI,1 - Affluent Achievers,0.7896985
871,871,35-49,Female,Yes,Yes,No,No,No,No,Disagree,Disagree,Agree,Agree,The assembly gardens,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Background born and bred,,Definitely,Not Sure,Not really,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Not very important,Disagree,,,CV3 6NX,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,0.8615715
872,872,16-19,Female,Yes,Yes,No,No,Yes,No,Not sure,Not sure,Disagree,Agree,Don't know,,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,,,,7-8,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,,Events which are low cost,,,,Fairly likely,Looking for new experiences,Cathedral,,Somewhat,Somewhat,Definitely,Somewhat,Definitely,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Fairly important,Fairly important,Agree,Assembly gardens,,CV3 6NX,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,1.2515570
873,873,50-64,Male,Yes,Yes,No,No,Yes,Yes,Strongly disagree,Disagree,Disagree,Disagree,Move to rejoin the European union,,,,,,,,,,,,,,,,,,,Other,,,Agree,Agree,Not sure,Not sure,Agree,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,7-8,,,,,,,,,,,,,,,,None of these / Would not attend,Not very likely,,Being sent,,Not Sure,Not Sure,Not Sure,Somewhat,Somewhat,Fairly important,Fairly important,Don't know / Not sure,Fairly important,Don't know / Not sure,Don't know / Not sure,Very important,Not at all important,Agree,Festival gardens,,CV3 6 NX,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,0.9638936
874,874,35-49,Female,Yes,No,No,No,Yes,No,Disagree,Disagree,Not sure,Not sure,None,,,,,,,,,,,,,,,,,,,,Nothing,,Strongly agree,Not sure,Not sure,Disagree,Not sure,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,Home it's my home and park and work,,Not Sure,Not Sure,Not really,Somewhat,Somewhat,Don't know / Not sure,Fairly important,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Fairly important,Not very important,Disagree,,,CV3 6 NX,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,0.8615715
875,875,35-49,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Agree,Strongly disagree,Strongly agree,Assembly gardens was good to have a central place something similar to that would be good,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",,,,Cinema,,,,7-8,,,,,,,,,,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,,,,,Extremely likely,Visiting the city and seeing existing attractions,None,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Agree,More round the artist based in Coventry,,CV3 6NX,,No,Mixed or Multiple - White and Asian,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,0.8615715
876,876,50-64,Male,Yes,Yes,No,No,Yes,No,Disagree,Disagree,Disagree,Agree,Keep assembly gardens,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Not sure,Not sure,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",,Live music,Theatre,Cinema,,,,11+,,,,,,,,,,,,,Events which are low cost,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,No,,Definitely,Somewhat,Somewhat,Somewhat,Somewhat,Don't know / Not sure,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Agree,Turner prize,,CV3 6 NX,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,0.9638936
877,877,35-49,Female,Yes,Yes,No,Yes,Not sure,Yes,Disagree,Strongly disagree,Strongly disagree,Not sure,More events for residents,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Concrete jungle pedestrian city centre cathedral,,Somewhat,Somewhat,Somewhat,Definitely,Definitely,Not very important,Fairly important,Very important,Very important,Very important,Don't know / Not sure,Very important,Not very important,Agree,Assembly gardens oldikea building Fargo ledge,,CV3 6 NX,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,0.8615715
878,878,16-19,Female,Yes,No,No,No,Yes,No,Not sure,Not sure,Not sure,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,City culture comes to mind,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Not very important,Agree,,Don't know,CV3 6Bj,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,3 - Comfortable Communities,1.2515570
879,879,20-34,Female,Yes,Yes,Yes,No,Yes,No,Disagree,Disagree,Disagree,Agree,It did alot to mak the centre more appealing,,,,,,,,,,,,,,,,,,Positive comments,,,,Agree,Agree,Agree,Agree,Agree,Disagree,Museums and galleries,"Pubs, clubs, and bars",,,,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Visiting the city and seeing existing attractions,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,All the artwork in town,,CV3 6BL,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,1 - Affluent Achievers,1.2515570
880,880,16-19,Male,Yes,Yes,No,Yes,No,Yes,Disagree,Not sure,Disagree,Agree,More public activity gong n in town,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,9-10,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,The opportunity to show off my city,,Don't know,Somewhat,Definitely,Not really,Definitely,Definitely,Very important,Very important,Very important,Very important,Not very important,Not very important,Very important,Fairly important,Agree,Cathedral water feature in he town I read the feature,,CV3 6Bh,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,4 - Financially Stretched,1.3299953
881,881,20-34,Male,Yes,Yes,No,No,Yes,No,Disagree,Disagree,Disagree,Agree,Massive big concert with more stars,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Strongly agree,Agree,Not sure,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",,,,Cinema,,Faith-based cultural activities,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Visiting the city and seeing existing attractions,,Don't know,Definitely,Definitely,Somewhat,Definitely,Definitely,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Disagree,,,CV3 6 Bh,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,4 - Financially Stretched,1.3299953
882,882,20-34,Male,Yes,Yes,No,No,No,No,Disagree,Not sure,Disagree,Agree,Infrastructure for young people,,,,,More activities for families/children/young people,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,,,Cinema,,,,11+,,,,,,,,,,Events that involve family and friends,,,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,,Don't know,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Fairly important,Agree,Assembly gatdens,,CV3 6bg,,No,White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,1 - Affluent Achievers,1.3299953
883,883,20-34,Male,Yes,No,No,No,No,No,Agree,Not sure,Agree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Not sure,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",,,,,,,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Fairly likely,Another reason,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not very important,Not sure,,,CV3 6bh,,"Yes, limited a little",White – British,Heterosexual/Straight,No,,Wainbody,South West,CAPI,4 - Financially Stretched,1.3299953
884,884,16-19,Female,Yes,No,No,No,No,No,Agree,Disagree,Not sure,Agree,Improve more art and culture,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,None of these,,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,,,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Car.manufacturing,,Somewhat,Definitely,Definitely,Somewhat,Not really,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Very important,Agree,Open space music and events in the centre,,CV3 4AW,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,4 - Financially Stretched,0.9480587
885,885,35-49,Male,Yes,Yes,No,No,No,No,Agree,Disagree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,,,,,,,,,None of these,,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,History and the cathedral,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Agree,Music in the town centre and arts,,CV3 4AW,,"Yes, limited a lot",Asian or Asian British – Indian,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,4 - Financially Stretched,0.9535254
